title,text,subject,date
State government launches public health initiative in urban slums,State government launches public health initiative in urban slums. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 01, 2025"
5G adoption crosses new subscriber milestone in several circles as part of the national development push,5G adoption crosses new subscriber milestone in several circles as part of the national development push. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"November 12, 2025"
Centre announces new infrastructure fund for rural districts,Centre announces new infrastructure fund for rural districts. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 10, 2025"
Domestic league final set to be played under tight security,Domestic league final set to be played under tight security. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 19, 2025"
AIIMS releases study on cardiac care outcomes after intervention,AIIMS releases study on cardiac care outcomes after intervention. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"October 19, 2025"
Chief Minister chairs emergency meeting after local incident,Chief Minister chairs emergency meeting after local incident. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 12, 2025"
Young sprinter breaks national U20 record at trials,Young sprinter breaks national U20 record at trials. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 13, 2025"
City to host international marathon with record participation as officials pledge quicker timelines,City to host international marathon with record participation as officials pledge quicker timelines. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 26, 2025"
GST collections show steady rebound in monthly receipts as part of the national development push,GST collections show steady rebound in monthly receipts as part of the national development push. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"November 05, 2025"
RBI keeps repo rate unchanged in latest monetary review with phased rollout expected next month,RBI keeps repo rate unchanged in latest monetary review with phased rollout expected next month. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"October 26, 2025"
Election Commission rolls out voter outreach program ahead of polls,Election Commission rolls out voter outreach program ahead of polls. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 08, 2025"
Chief Minister chairs emergency meeting after local incident,Chief Minister chairs emergency meeting after local incident. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 17, 2025"
ISRO conducts successful test of new rocket stage in a move welcomed by analysts,ISRO conducts successful test of new rocket stage in a move welcomed by analysts. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"November 10, 2025"
National hockey team begins preparatory camp for Asian qualifiers with phased rollout expected next month,National hockey team begins preparatory camp for Asian qualifiers with phased rollout expected next month. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"November 12, 2025"
National vaccination drive enters next phase targeting adolescents with phased rollout expected next month,National vaccination drive enters next phase targeting adolescents with phased rollout expected next month. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"November 07, 2025"
IIT consortium publishes open dataset for agriculture AI,IIT consortium publishes open dataset for agriculture AI. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 13, 2025"
City to host international marathon with record participation,City to host international marathon with record participation. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"November 02, 2025"
Centre announces new infrastructure fund for rural districts,Centre announces new infrastructure fund for rural districts. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 20, 2025"
National logistics council approves new port modernization plan with phased rollout expected next month,National logistics council approves new port modernization plan with phased rollout expected next month. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"October 27, 2025"
Manufacturing PMI signals expansion for third consecutive month with phased rollout expected next month,Manufacturing PMI signals expansion for third consecutive month with phased rollout expected next month. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"October 26, 2025"
ISRO conducts successful test of new rocket stage in a move welcomed by analysts,ISRO conducts successful test of new rocket stage in a move welcomed by analysts. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"November 11, 2025"
State hospital inaugurates new critical care wing as officials pledge quicker timelines,State hospital inaugurates new critical care wing as officials pledge quicker timelines. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"October 23, 2025"
State government launches public health initiative in urban slums after stakeholder consultations,State government launches public health initiative in urban slums after stakeholder consultations. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 04, 2025"
Young sprinter breaks national U20 record at trials to improve urban services in tier-2 cities,Young sprinter breaks national U20 record at trials to improve urban services in tier-2 cities. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 24, 2025"
National vaccination drive enters next phase targeting adolescents,National vaccination drive enters next phase targeting adolescents. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"October 28, 2025"
Parliamentary committee reviews draft data protection bill amid calls for greater transparency,Parliamentary committee reviews draft data protection bill amid calls for greater transparency. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 01, 2025"
GST collections show steady rebound in monthly receipts,GST collections show steady rebound in monthly receipts. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"October 23, 2025"
Centre announces new infrastructure fund for rural districts amid calls for greater transparency,Centre announces new infrastructure fund for rural districts amid calls for greater transparency. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 16, 2025"
National hockey team begins preparatory camp for Asian qualifiers as part of the national development push,National hockey team begins preparatory camp for Asian qualifiers as part of the national development push. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"November 06, 2025"
National vaccination drive enters next phase targeting adolescents,National vaccination drive enters next phase targeting adolescents. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"November 10, 2025"
5G adoption crosses new subscriber milestone in several circles after stakeholder consultations,5G adoption crosses new subscriber milestone in several circles after stakeholder consultations. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 30, 2025"
RBI keeps repo rate unchanged in latest monetary review following recent pilot programs,RBI keeps repo rate unchanged in latest monetary review following recent pilot programs. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"November 05, 2025"
Jan Aushadhi program expands affordable medicine list with phased rollout expected next month,Jan Aushadhi program expands affordable medicine list with phased rollout expected next month. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"November 09, 2025"
ISRO conducts successful test of new rocket stage,ISRO conducts successful test of new rocket stage. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"November 02, 2025"
Young sprinter breaks national U20 record at trials,Young sprinter breaks national U20 record at trials. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"November 05, 2025"
Chief Minister chairs emergency meeting after local incident amid calls for greater transparency,Chief Minister chairs emergency meeting after local incident amid calls for greater transparency. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 04, 2025"
IIT consortium publishes open dataset for agriculture AI following recent pilot programs,IIT consortium publishes open dataset for agriculture AI following recent pilot programs. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"November 11, 2025"
Centre announces new infrastructure fund for rural districts with funding approved in the latest budget,Centre announces new infrastructure fund for rural districts with funding approved in the latest budget. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 27, 2025"
City to host international marathon with record participation with funding approved in the latest budget,City to host international marathon with record participation with funding approved in the latest budget. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"November 08, 2025"
IIT consortium publishes open dataset for agriculture AI with phased rollout expected next month,IIT consortium publishes open dataset for agriculture AI with phased rollout expected next month. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 29, 2025"
National hockey team begins preparatory camp for Asian qualifiers after stakeholder consultations,National hockey team begins preparatory camp for Asian qualifiers after stakeholder consultations. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 16, 2025"
Young sprinter breaks national U20 record at trials,Young sprinter breaks national U20 record at trials. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 26, 2025"
ISRO conducts successful test of new rocket stage to improve urban services in tier-2 cities,ISRO conducts successful test of new rocket stage to improve urban services in tier-2 cities. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"November 11, 2025"
National vaccination drive enters next phase targeting adolescents following recent pilot programs,National vaccination drive enters next phase targeting adolescents following recent pilot programs. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"November 08, 2025"
City to host international marathon with record participation,City to host international marathon with record participation. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 25, 2025"
Chief Minister chairs emergency meeting after local incident,Chief Minister chairs emergency meeting after local incident. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 09, 2025"
Homegrown startup raises Series B to scale AI products after stakeholder consultations,Homegrown startup raises Series B to scale AI products after stakeholder consultations. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"November 03, 2025"
National logistics council approves new port modernization plan to improve urban services in tier-2 cities,National logistics council approves new port modernization plan to improve urban services in tier-2 cities. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"October 28, 2025"
Chief Minister chairs emergency meeting after local incident amid calls for greater transparency,Chief Minister chairs emergency meeting after local incident amid calls for greater transparency. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 02, 2025"
Major export shipments boost trade surplus this quarter amid calls for greater transparency,Major export shipments boost trade surplus this quarter amid calls for greater transparency. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"October 22, 2025"
Domestic league final set to be played under tight security,Domestic league final set to be played under tight security. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 26, 2025"
IIT consortium publishes open dataset for agriculture AI,IIT consortium publishes open dataset for agriculture AI. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"November 07, 2025"
India announce squad for multi-format cricket series,India announce squad for multi-format cricket series. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"November 10, 2025"
Election Commission rolls out voter outreach program ahead of polls,Election Commission rolls out voter outreach program ahead of polls. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 09, 2025"
State hospital inaugurates new critical care wing following recent pilot programs,State hospital inaugurates new critical care wing following recent pilot programs. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"November 05, 2025"
Young sprinter breaks national U20 record at trials,Young sprinter breaks national U20 record at trials. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 29, 2025"
City to host international marathon with record participation to improve urban services in tier-2 cities,City to host international marathon with record participation to improve urban services in tier-2 cities. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 16, 2025"
ISRO conducts successful test of new rocket stage with funding approved in the latest budget,ISRO conducts successful test of new rocket stage with funding approved in the latest budget. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 14, 2025"
5G adoption crosses new subscriber milestone in several circles to improve urban services in tier-2 cities,5G adoption crosses new subscriber milestone in several circles to improve urban services in tier-2 cities. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 22, 2025"
Chief Minister chairs emergency meeting after local incident as part of the national development push,Chief Minister chairs emergency meeting after local incident as part of the national development push. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 05, 2025"
Young sprinter breaks national U20 record at trials as officials pledge quicker timelines,Young sprinter breaks national U20 record at trials as officials pledge quicker timelines. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"November 07, 2025"
National logistics council approves new port modernization plan,National logistics council approves new port modernization plan. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"October 31, 2025"
State hospital inaugurates new critical care wing,State hospital inaugurates new critical care wing. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"October 19, 2025"
GST collections show steady rebound in monthly receipts following recent pilot programs,GST collections show steady rebound in monthly receipts following recent pilot programs. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"November 12, 2025"
Young sprinter breaks national U20 record at trials,Young sprinter breaks national U20 record at trials. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"November 06, 2025"
Health ministry issues advisory as seasonal influenza cases rise,Health ministry issues advisory as seasonal influenza cases rise. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"November 01, 2025"
National logistics council approves new port modernization plan,National logistics council approves new port modernization plan. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"November 05, 2025"
State government launches public health initiative in urban slums with funding approved in the latest budget,State government launches public health initiative in urban slums with funding approved in the latest budget. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 12, 2025"
State government launches public health initiative in urban slums with phased rollout expected next month,State government launches public health initiative in urban slums with phased rollout expected next month. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 02, 2025"
RBI keeps repo rate unchanged in latest monetary review,RBI keeps repo rate unchanged in latest monetary review. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"October 24, 2025"
State hospital inaugurates new critical care wing amid calls for greater transparency,State hospital inaugurates new critical care wing amid calls for greater transparency. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"October 30, 2025"
City to host international marathon with record participation to improve urban services in tier-2 cities,City to host international marathon with record participation to improve urban services in tier-2 cities. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 25, 2025"
5G adoption crosses new subscriber milestone in several circles with funding approved in the latest budget,5G adoption crosses new subscriber milestone in several circles with funding approved in the latest budget. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"November 10, 2025"
National hockey team begins preparatory camp for Asian qualifiers,National hockey team begins preparatory camp for Asian qualifiers. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"November 07, 2025"
India announce squad for multi-format cricket series,India announce squad for multi-format cricket series. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 20, 2025"
Parliamentary committee reviews draft data protection bill,Parliamentary committee reviews draft data protection bill. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 15, 2025"
National hockey team begins preparatory camp for Asian qualifiers in a move welcomed by analysts,National hockey team begins preparatory camp for Asian qualifiers in a move welcomed by analysts. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 21, 2025"
Chief Minister chairs emergency meeting after local incident to benefit small businesses and MSMEs,Chief Minister chairs emergency meeting after local incident to benefit small businesses and MSMEs. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 12, 2025"
Domestic league final set to be played under tight security,Domestic league final set to be played under tight security. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"November 01, 2025"
Manufacturing PMI signals expansion for third consecutive month,Manufacturing PMI signals expansion for third consecutive month. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"October 31, 2025"
Manufacturing PMI signals expansion for third consecutive month to benefit small businesses and MSMEs,Manufacturing PMI signals expansion for third consecutive month to benefit small businesses and MSMEs. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"November 02, 2025"
India announce squad for multi-format cricket series to benefit small businesses and MSMEs,India announce squad for multi-format cricket series to benefit small businesses and MSMEs. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 16, 2025"
India announce squad for multi-format cricket series in a move welcomed by analysts,India announce squad for multi-format cricket series in a move welcomed by analysts. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 28, 2025"
National logistics council approves new port modernization plan,National logistics council approves new port modernization plan. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"November 01, 2025"
5G adoption crosses new subscriber milestone in several circles,5G adoption crosses new subscriber milestone in several circles. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"November 08, 2025"
National hockey team begins preparatory camp for Asian qualifiers,National hockey team begins preparatory camp for Asian qualifiers. Sports officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,sportsNews,"October 29, 2025"
AIIMS releases study on cardiac care outcomes after intervention to improve urban services in tier-2 cities,AIIMS releases study on cardiac care outcomes after intervention to improve urban services in tier-2 cities. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"November 05, 2025"
IIT consortium publishes open dataset for agriculture AI following recent pilot programs,IIT consortium publishes open dataset for agriculture AI following recent pilot programs. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 17, 2025"
Homegrown startup raises Series B to scale AI products,Homegrown startup raises Series B to scale AI products. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"November 02, 2025"
State government launches public health initiative in urban slums after stakeholder consultations,State government launches public health initiative in urban slums after stakeholder consultations. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 19, 2025"
Chief Minister chairs emergency meeting after local incident as officials pledge quicker timelines,Chief Minister chairs emergency meeting after local incident as officials pledge quicker timelines. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"November 06, 2025"
GST collections show steady rebound in monthly receipts following recent pilot programs,GST collections show steady rebound in monthly receipts following recent pilot programs. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"October 25, 2025"
National logistics council approves new port modernization plan,National logistics council approves new port modernization plan. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"October 13, 2025"
IIT consortium publishes open dataset for agriculture AI as part of the national development push,IIT consortium publishes open dataset for agriculture AI as part of the national development push. Tech officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,techNews,"October 31, 2025"
Election Commission rolls out voter outreach program ahead of polls to improve urban services in tier-2 cities,Election Commission rolls out voter outreach program ahead of polls to improve urban services in tier-2 cities. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 29, 2025"
AIIMS releases study on cardiac care outcomes after intervention with phased rollout expected next month,AIIMS releases study on cardiac care outcomes after intervention with phased rollout expected next month. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"October 22, 2025"
Health ministry issues advisory as seasonal influenza cases rise with phased rollout expected next month,Health ministry issues advisory as seasonal influenza cases rise with phased rollout expected next month. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"October 27, 2025"
Manufacturing PMI signals expansion for third consecutive month following recent pilot programs,Manufacturing PMI signals expansion for third consecutive month following recent pilot programs. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"October 14, 2025"
Health ministry issues advisory as seasonal influenza cases rise with phased rollout expected next month,Health ministry issues advisory as seasonal influenza cases rise with phased rollout expected next month. Health officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,healthNews,"October 18, 2025"
GST collections show steady rebound in monthly receipts,GST collections show steady rebound in monthly receipts. Economy officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,economyNews,"November 08, 2025"
Centre announces new infrastructure fund for rural districts in a move welcomed by analysts,Centre announces new infrastructure fund for rural districts in a move welcomed by analysts. Politics officials said the initiative aims to address current priorities. Implementation will be phased and monitored across states. Further details will be released by the concerned ministry.  ,politicsNews,"October 25, 2025"
